"filename", "language", "CSS", "JSON", "JavaScript", "TypeScript", "TypeScript React", "XML", "Markdown", "HTML", "comment", "blank", "total"
"e:\Dev\React\sidiro\src\components\Elevation\CompartmentSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 106, 0, 0, 0, 0, 3, 109
"e:\Dev\React\sidiro\src\components\Elevation\PanelSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 94, 0, 0, 0, 3, 4, 101
"e:\Dev\React\sidiro\src\components\Elevation\SwitchDisconnector3NJ4SVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"e:\Dev\React\sidiro\src\components\Elevation\SwitchDisconnector3NJ6SVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 33
"e:\Dev\React\sidiro\src\components\Elevation\SwitchDisconnector3NP1VerticalSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
"e:\Dev\React\sidiro\src\components\Elevation\TestSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 51, 0, 0, 0, 0, 3, 54
"e:\Dev\React\sidiro\src\components\Events.component.tsx", "TypeScript React", 0, 0, 0, 0, 181, 0, 0, 0, 1, 10, 192
"e:\Dev\React\sidiro\src\components\LanguageDialog.component.tsx", "TypeScript React", 0, 0, 0, 0, 56, 0, 0, 0, 0, 4, 60
"e:\Dev\React\sidiro\src\components\LineChart.component.tsx", "TypeScript React", 0, 0, 0, 0, 130, 0, 0, 0, 1, 8, 139
"e:\Dev\React\sidiro\src\components\Overview.component.tsx", "TypeScript React", 0, 0, 0, 0, 423, 0, 0, 0, 4, 17, 444
"e:\Dev\React\sidiro\src\components\Overview\CircuitBreakerSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 277, 0, 0, 0, 1, 3, 281
"e:\Dev\React\sidiro\src\components\Overview\CouplingBreakerSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 182, 0, 0, 0, 3, 4, 189
"e:\Dev\React\sidiro\src\components\Overview\GeneratorSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 72, 0, 0, 0, 0, 2, 74
"e:\Dev\React\sidiro\src\components\Overview\ParametersTableSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 103, 0, 0, 0, 0, 3, 106
"e:\Dev\React\sidiro\src\components\Overview\SectionSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 52, 0, 0, 0, 0, 4, 56
"e:\Dev\React\sidiro\src\components\Overview\TransformerSVG.component.tsx", "TypeScript React", 0, 0, 0, 0, 93, 0, 0, 0, 1, 3, 97
"e:\Dev\React\sidiro\src\components\PieChart.component.tsx", "TypeScript React", 0, 0, 0, 0, 69, 0, 0, 0, 1, 6, 76
"e:\Dev\React\sidiro\src\components\Powermonitor.component.tsx", "TypeScript React", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"e:\Dev\React\sidiro\src\components\Reports.component.tsx", "TypeScript React", 0, 0, 0, 0, 83, 0, 0, 0, 1, 4, 88
"e:\Dev\React\sidiro\src\components\Reports\EnergyConsumptionTab.component.tsx", "TypeScript React", 0, 0, 0, 0, 269, 0, 0, 0, 4, 16, 289
"e:\Dev\React\sidiro\src\components\Reports\EnergyUsageProfileTab.component.tsx", "TypeScript React", 0, 0, 0, 0, 374, 0, 0, 0, 4, 15, 393
"e:\Dev\React\sidiro\src\components\Reports\InfeedParametersTab.component.tsx", "TypeScript React", 0, 0, 0, 0, 267, 0, 0, 0, 0, 11, 278
"e:\Dev\React\sidiro\src\components\Reports\PowerDemandTab.component.tsx", "TypeScript React", 0, 0, 0, 0, 305, 0, 0, 0, 3, 13, 321
"e:\Dev\React\sidiro\src\components\StackedBarChart.component.tsx", "TypeScript React", 0, 0, 0, 0, 105, 0, 0, 0, 0, 7, 112
"e:\Dev\React\sidiro\src\components\TableWithSort.component.tsx", "TypeScript React", 0, 0, 0, 0, 195, 0, 0, 0, 14, 18, 227
"e:\Dev\React\sidiro\src\components\UniversalTable.component.tsx", "TypeScript React", 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"e:\Dev\React\sidiro\src\components\UniversalTabs.component.tsx", "TypeScript React", 0, 0, 0, 0, 80, 0, 0, 0, 3, 9, 92
"e:\Dev\React\sidiro\src\global.d.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"e:\Dev\React\sidiro\src\hooks\useUpdateChartDatasets.hook.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 2, 2, 42
"e:\Dev\React\sidiro\src\hooks\useUpdateChartFontColor.hook.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 1, 5, 51
"e:\Dev\React\sidiro\src\hooks\useUpdateStackedChartDatasets.hook.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 5, 3, 58
"e:\Dev\React\sidiro\src\i18n.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 11, 11, 53
"e:\Dev\React\sidiro\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Dev\React\sidiro\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 5, 3, 19
